id,saledate,vehicletype,manufacturer,price,saletype,customerage,color,mileage,financingtype
1,2020-12-08,Impreza,Subaru,20230,used,65,Silver,44653,Loan
2,2021-11-25,Camry,Toyota,26806,new,59,Gray,0,Lease
3,2020-07-22,CRV,Honda,23121,new,45,Red,0,Lease
4,2019-07-01,Legacy,Subaru,16378,used,59,Black,75612,Cash
5,2020-10-22,Elantra,Hyundai,18814,used,65,White,12528,Cash
6,2020-03-06,Mazda3,Mazda,20033,used,31,White,11988,Cash
7,2022-10-12,Rogue,Nissan,34891,new,26,Gray,0,Loan
8,2021-12-17,Impala,Chevrolet,29274,used,26,Black,18456,Loan
9,2020-01-14,Focus,Ford,17566,used,57,Blue,18052,Loan
10,2021-05-02,Malibu,Chevrolet,22623,new,54,Gray,0,Cash
11,2023-12-30,Jetta,Volkswagen,19178,new,22,Blue,0,Lease
12,2019-11-18,Camry,Toyota,18080,used,40,Red,54265,Loan
13,2023-07-16,Passat,Volkswagen,27013,new,29,Gray,0,Lease
14,2023-04-18,Accord,Honda,22474,new,25,Blue,0,Loan
15,2022-11-21,Sentra,Nissan,34051,new,24,Red,0,Lease
16,2019-10-27,Optima,Kia,18904,new,54,Blue,0,Lease
17,2019-11-23,Focus,Ford,29954,new,28,Blue,0,Cash
18,2019-05-01,Corolla,Toyota,19591,new,42,Gray,0,Loan
19,2022-09-04,Rogue,Nissan,29708,used,36,White,73961,Lease
20,2019-08-06,Sentra,Nissan,19389,new,52,Red,0,Loan
21,2021-01-13,Camry,Toyota,27451,used,63,Silver,51960,Cash
22,2021-01-11,Sonata,Hyundai,28807,new,47,Red,0,Lease
23,2022-07-31,Jetta,Volkswagen,18633,used,49,White,69184,Cash
24,2019-12-01,Focus,Ford,20114,used,58,Silver,62078,Cash
25,2019-02-05,Altima,Nissan,27205,used,23,Black,74798,Lease
26,2019-03-17,Legacy,Subaru,28106,used,61,Silver,48660,Loan
27,2021-11-27,Optima,Kia,25790,new,23,Red,0,Lease
28,2023-05-10,Altima,Nissan,19140,used,30,White,23175,Lease
29,2019-01-27,Tiguan,Volkswagen,27900,used,43,White,32478,Loan
30,2023-10-22,Accord,Honda,28563,used,61,Silver,37490,Lease
31,2019-11-05,Mazda3,Mazda,19781,used,62,Silver,53053,Cash
32,2019-01-24,Mazda6,Mazda,15687,used,29,Black,16986,Lease
33,2019-08-29,Tucson,Hyundai,26801,new,38,Black,0,Cash
34,2023-12-03,Escape,Ford,19093,new,33,Silver,0,Lease
35,2020-09-03,Sonata,Hyundai,19907,new,39,Gray,0,Lease
36,2019-01-04,Focus,Ford,33015,new,33,Red,0,Loan
37,2023-12-04,Mazda6,Mazda,21391,new,61,Blue,0,Lease
38,2019-06-06,Civic,Honda,26458,used,46,Blue,68984,Cash
39,2023-12-07,Outback,Subaru,27623,new,65,White,0,Loan
40,2023-04-28,Legacy,Subaru,19648,used,51,White,61539,Lease
41,2019-12-31,Fusion,Ford,16055,used,32,Gray,71097,Cash
42,2019-04-04,Passat,Volkswagen,28403,used,52,Blue,58661,Cash
43,2020-07-28,Passat,Volkswagen,24667,new,30,Black,0,Lease
44,2023-10-28,Sonata,Hyundai,22613,used,58,Gray,59444,Cash
45,2020-03-15,Malibu,Chevrolet,25090,used,25,Blue,21741,Cash
46,2023-03-07,Camry,Toyota,30918,new,37,Silver,0,Cash
47,2023-07-27,Escape,Ford,33969,new,24,Red,0,Lease
48,2019-12-25,Equinox,Chevrolet,21226,new,44,White,0,Loan
49,2021-09-25,Mazda3,Mazda,24775,new,58,White,0,Lease
50,2019-10-17,Passat,Volkswagen,24512,new,57,Black,0,Lease
51,2022-12-08,Impreza,Subaru,24564,new,25,Blue,0,Loan
52,2019-06-26,Impreza,Subaru,19733,new,57,Gray,0,Loan
53,2019-03-31,Optima,Kia,29384,used,51,Red,68885,Loan
54,2019-06-02,Sportage,Kia,30896,new,24,Blue,0,Loan
55,2022-06-13,Sonata,Hyundai,34937,new,34,Gray,0,Lease
56,2021-07-24,Escape,Ford,29160,used,55,Silver,38950,Lease
57,2019-12-29,Altima,Nissan,26765,new,26,White,0,Cash
58,2021-04-18,Sonata,Hyundai,22679,new,36,Silver,0,Loan
59,2021-05-08,Tiguan,Volkswagen,29868,new,23,Red,0,Lease
60,2022-08-29,Tiguan,Volkswagen,29122,new,56,Silver,0,Loan
61,2019-08-21,CRV,Honda,23744,new,57,Blue,0,Lease
62,2021-10-19,Sentra,Nissan,29290,new,26,Blue,0,Loan
63,2022-05-01,Optima,Kia,27803,used,32,Blue,59963,Cash
64,2021-03-16,Forte,Kia,34907,new,58,Black,0,Loan
65,2019-06-07,Mazda6,Mazda,21538,used,63,Red,53831,Cash
66,2019-10-19,Impreza,Subaru,20078,used,36,Blue,77936,Cash
67,2022-12-18,Impala,Chevrolet,21732,used,62,White,70667,Loan
68,2023-01-15,Focus,Ford,34541,new,61,White,0,Lease
69,2019-05-22,Legacy,Subaru,21130,used,53,Black,42299,Cash
70,2019-08-26,Camry,Toyota,24737,new,31,White,0,Loan
71,2023-05-15,Jetta,Volkswagen,27903,new,29,Red,0,Loan
72,2022-04-30,Forte,Kia,34305,new,43,Silver,0,Cash
73,2021-12-04,Sportage,Kia,22591,used,33,Black,21997,Cash
74,2022-06-27,RAV4,Toyota,26052,new,47,Red,0,Loan
75,2021-06-13,Sonata,Hyundai,25337,new,37,Red,0,Cash
76,2021-07-14,Optima,Kia,20013,used,64,Black,18658,Lease
77,2022-09-05,Escape,Ford,24232,used,29,White,32272,Lease
78,2021-04-11,Sportage,Kia,24192,used,26,Silver,24955,Cash
79,2023-02-02,Optima,Kia,21776,used,57,Gray,24433,Lease
80,2021-03-14,Sentra,Nissan,29493,new,32,Red,0,Loan
81,2021-07-27,Legacy,Subaru,31164,new,33,Silver,0,Loan
82,2022-04-24,Altima,Nissan,28832,new,28,White,0,Lease
83,2022-01-04,Sportage,Kia,19483,used,24,Silver,75112,Cash
84,2019-02-06,Sonata,Hyundai,19941,used,29,Black,70880,Loan
85,2020-03-22,Focus,Ford,15214,used,32,Gray,73103,Lease
86,2022-04-05,Jetta,Volkswagen,22404,new,43,Black,0,Cash
87,2020-01-31,Sentra,Nissan,22383,used,34,Red,70270,Lease
88,2023-09-04,Tucson,Hyundai,21763,used,65,Gray,63785,Cash
89,2019-04-18,Civic,Honda,28727,used,41,Gray,37309,Lease
90,2023-11-26,Impala,Chevrolet,28324,used,64,Black,42849,Cash
91,2021-06-15,Accord,Honda,31406,new,28,Black,0,Loan
92,2023-04-04,Impala,Chevrolet,21931,new,65,Red,0,Cash
93,2022-01-07,Impala,Chevrolet,33337,new,50,Silver,0,Cash
94,2019-08-22,Outback,Subaru,23041,new,27,Red,0,Cash
95,2019-12-04,Tiguan,Volkswagen,23233,new,37,White,0,Loan
96,2021-11-19,Tiguan,Volkswagen,26100,used,27,White,74427,Lease
97,2019-09-25,Impreza,Subaru,25273,new,45,Blue,0,Loan
98,2019-04-29,Forte,Kia,21353,new,29,Blue,0,Cash
99,2021-08-19,Optima,Kia,31831,new,52,Black,0,Loan
100,2022-06-27,Accord,Honda,28654,used,27,Black,21259,Lease
101,2022-08-14,Passat,Volkswagen,18062,used,23,Gray,12755,Cash
102,2022-09-02,Accord,Honda,23747,used,58,Red,48021,Loan
103,2020-08-09,Corolla,Toyota,23345,new,38,Black,0,Lease
104,2022-03-09,Tucson,Hyundai,30039,new,25,Gray,0,Cash
105,2019-07-28,Fusion,Ford,15300,used,54,Black,75297,Lease
106,2020-09-04,Mazda6,Mazda,15385,used,42,White,75842,Cash
107,2022-10-08,Equinox,Chevrolet,23682,new,33,Gray,0,Cash
108,2019-10-18,CX-5,Mazda,26884,new,59,Blue,0,Loan
109,2019-07-09,CRV,Honda,28343,new,47,Black,0,Cash
110,2022-11-10,Altima,Nissan,28319,new,28,Black,0,Loan
111,2020-08-12,RAV4,Toyota,25195,used,47,Gray,53931,Lease
112,2023-01-31,CRV,Honda,28696,new,34,White,0,Lease
113,2019-03-17,Forte,Kia,24962,used,57,Silver,10669,Cash
114,2022-08-09,Altima,Nissan,20524,used,46,Black,50368,Loan
115,2019-08-02,Jetta,Volkswagen,21999,used,36,Red,15473,Loan
116,2020-10-19,Tiguan,Volkswagen,28081,used,26,White,28061,Loan
117,2020-08-13,Sonata,Hyundai,28466,new,54,Silver,0,Loan
118,2019-06-13,Sportage,Kia,34928,new,30,Silver,0,Cash
119,2021-08-28,Sportage,Kia,18041,new,49,Gray,0,Lease
120,2019-02-16,Passat,Volkswagen,15613,used,39,White,19810,Loan
121,2020-12-15,Jetta,Volkswagen,34469,new,61,Black,0,Lease
122,2019-07-01,Impreza,Subaru,26750,used,22,Silver,59471,Lease
123,2021-12-30,Civic,Honda,19812,used,36,Black,20179,Loan
124,2021-11-04,Equinox,Chevrolet,29786,new,42,Red,0,Loan
125,2022-08-19,Impala,Chevrolet,32210,new,45,Blue,0,Lease
126,2023-11-19,Jetta,Volkswagen,30339,new,42,White,0,Cash
127,2020-06-23,Escape,Ford,30118,new,39,Silver,0,Cash
128,2023-02-16,Focus,Ford,23745,new,28,Red,0,Loan
129,2022-04-09,Escape,Ford,16065,used,31,Black,47389,Lease
130,2019-06-13,Mazda3,Mazda,18456,used,32,White,65898,Lease
131,2022-04-30,Outback,Subaru,27502,new,55,Silver,0,Cash
132,2019-03-12,Tucson,Hyundai,27763,new,54,Gray,0,Cash
133,2023-02-05,CRV,Honda,20277,used,61,White,57325,Loan
134,2019-08-10,Sportage,Kia,27271,used,34,Gray,14113,Lease
135,2022-02-20,Mazda3,Mazda,15335,used,24,Red,17598,Lease
136,2023-03-29,Optima,Kia,25406,used,30,Silver,68196,Cash
137,2022-02-18,Accord,Honda,23258,new,51,Blue,0,Cash
138,2019-07-27,CRV,Honda,22911,used,37,Gray,25811,Lease
139,2021-03-21,Tiguan,Volkswagen,22399,used,52,White,74463,Loan
140,2023-04-14,Outback,Subaru,30849,new,60,Blue,0,Loan
141,2022-07-23,Sonata,Hyundai,34297,new,50,White,0,Lease
142,2023-03-11,Rogue,Nissan,26108,used,60,Blue,12206,Lease
143,2023-12-05,Escape,Ford,29499,new,22,Red,0,Lease
144,2022-06-18,Passat,Volkswagen,25170,new,63,Red,0,Cash
145,2019-07-30,Forte,Kia,15642,used,44,Blue,36600,Cash
146,2020-08-27,Outback,Subaru,24047,used,46,White,73598,Lease
147,2020-02-22,Rogue,Nissan,27030,used,58,Black,20131,Cash
148,2020-06-28,Passat,Volkswagen,25168,new,56,Silver,0,Cash
149,2022-07-23,Sportage,Kia,24673,used,57,White,22093,Loan
150,2020-08-14,Impala,Chevrolet,28887,used,57,Gray,10343,Loan
151,2021-07-17,Impreza,Subaru,28648,used,29,Gray,70540,Loan
152,2020-11-23,Forte,Kia,16385,used,59,Silver,60037,Loan
153,2022-01-25,Outback,Subaru,28074,used,53,Silver,37975,Cash
154,2023-02-15,CX-5,Mazda,15116,used,35,Black,46180,Lease
155,2020-07-17,Sentra,Nissan,23128,used,33,Red,63625,Lease
156,2020-10-07,Sportage,Kia,24194,used,36,Red,76859,Loan
157,2022-12-16,Outback,Subaru,21502,used,47,Blue,74665,Loan
158,2022-12-26,Jetta,Volkswagen,26504,used,43,Gray,77974,Loan
159,2021-05-26,Forte,Kia,20792,used,25,Gray,79548,Lease
160,2019-10-26,Outback,Subaru,23867,new,48,Black,0,Lease
161,2021-03-30,Impreza,Subaru,22994,new,53,Red,0,Cash
