id,saledate,vehicletype,manufacturer,price,saletype,color,mileage,financingtype,customerarea
1,2020-12-08,Impreza,Subaru,20230,used,Silver,44653,Loan,StatenIsland
2,2021-11-25,Camry,Toyota,26806,new,Gray,0,Lease,Manhattan
3,2020-07-22,CRV,Honda,23121,new,Red,0,Lease,SoHo
4,2019-07-01,Legacy,Subaru,16378,used,Black,75612,Cash,UpperEast
5,2020-10-22,Elantra,Hyundai,18814,used,White,12528,Cash,Chinatown
6,2020-03-06,Mazda3,Mazda,20033,used,White,11988,Cash,Astoria
7,2022-10-12,Rogue,Nissan,34891,new,Gray,0,Loan,Flushing
8,2021-12-17,Impala,Chevrolet,29274,used,Black,18456,Loan,UpperWest
9,2020-01-14,Focus,Ford,17566,used,Blue,18052,Loan,Queens
10,2021-05-02,Malibu,Chevrolet,22623,new,Gray,0,Cash,Harlem
11,2023-12-30,Jetta,Volkswagen,19178,new,Blue,0,Lease,Chinatown
12,2019-11-18,Camry,Toyota,18080,used,Red,54265,Loan,Flushing
13,2023-07-16,Passat,Volkswagen,27013,new,Gray,0,Lease,Brooklyn
14,2023-04-18,Accord,Honda,22474,new,Blue,0,Loan,Downtown
15,2022-11-21,Sentra,Nissan,34051,new,Red,0,Lease,Downtown
16,2019-10-27,Optima,Kia,18904,new,Blue,0,Lease,Midtown
17,2019-11-23,Focus,Ford,29954,new,Blue,0,Cash,Brooklyn
18,2019-05-01,Corolla,Toyota,19591,new,Gray,0,Loan,Williamsburg
19,2022-09-04,Rogue,Nissan,29708,used,White,73961,Lease,SoHo
20,2019-08-06,Sentra,Nissan,19389,new,Red,0,Loan,Bronx
21,2021-01-13,Camry,Toyota,27451,used,Silver,51960,Cash,Midtown
22,2021-01-11,Sonata,Hyundai,28807,new,Red,0,Lease,Midtown
23,2022-07-31,Jetta,Volkswagen,18633,used,White,69184,Cash,LittleItaly
24,2019-12-01,Focus,Ford,20114,used,Silver,62078,Cash,Queens
25,2019-02-05,Altima,Nissan,27205,used,Black,74798,Lease,UpperEast
26,2019-03-17,Legacy,Subaru,28106,used,Silver,48660,Loan,Harlem
27,2021-11-27,Optima,Kia,25790,new,Red,0,Lease,TimesSquare
28,2023-05-10,Altima,Nissan,19140,used,White,23175,Lease,UpperEast
29,2019-01-27,Tiguan,Volkswagen,27900,used,White,32478,Loan,Bronx
30,2023-10-22,Accord,Honda,28563,used,Silver,37490,Lease,Flushing
31,2019-11-05,Mazda3,Mazda,19781,used,Silver,53053,Cash,Downtown
32,2019-01-24,Mazda6,Mazda,15687,used,Black,16986,Lease,Queens
33,2019-08-29,Tucson,Hyundai,26801,new,Black,0,Cash,StatenIsland
34,2023-12-03,Escape,Ford,19093,new,Silver,0,Lease,Williamsburg
35,2020-09-03,Sonata,Hyundai,19907,new,Gray,0,Lease,Flushing
36,2019-01-04,Focus,Ford,33015,new,Red,0,Loan,Brooklyn
37,2023-12-04,Mazda6,Mazda,21391,new,Blue,0,Lease,StatenIsland
38,2019-06-06,Civic,Honda,26458,used,Blue,68984,Cash,Chinatown
39,2023-12-07,Outback,Subaru,27623,new,White,0,Loan,StatenIsland
40,2023-04-28,Legacy,Subaru,19648,used,White,61539,Lease,Flushing
41,2019-12-31,Fusion,Ford,16055,used,Gray,71097,Cash,UpperWest
42,2019-04-04,Passat,Volkswagen,28403,used,Blue,58661,Cash,Chinatown
43,2020-07-28,Passat,Volkswagen,24667,new,Black,0,Lease,Harlem
44,2023-10-28,Sonata,Hyundai,22613,used,Gray,59444,Cash,Bronx
45,2020-03-15,Malibu,Chevrolet,25090,used,Blue,21741,Cash,Brooklyn
46,2023-03-07,Camry,Toyota,30918,new,Silver,0,Cash,Manhattan
47,2023-07-27,Escape,Ford,33969,new,Red,0,Lease,StatenIsland
48,2019-12-25,Equinox,Chevrolet,21226,new,White,0,Loan,Harlem
49,2021-09-25,Mazda3,Mazda,24775,new,White,0,Lease,Downtown
50,2019-10-17,Passat,Volkswagen,24512,new,Black,0,Lease,Harlem
51,2022-12-08,Impreza,Subaru,24564,new,Blue,0,Loan,Flushing
52,2019-06-26,Impreza,Subaru,19733,new,Gray,0,Loan,Bronx
53,2019-03-31,Optima,Kia,29384,used,Red,68885,Loan,Bronx
54,2019-06-02,Sportage,Kia,30896,new,Blue,0,Loan,SoHo
55,2022-06-13,Sonata,Hyundai,34937,new,Gray,0,Lease,Chinatown
56,2021-07-24,Escape,Ford,29160,used,Silver,38950,Lease,Brooklyn
57,2019-12-29,Altima,Nissan,26765,new,White,0,Cash,Brooklyn
58,2021-04-18,Sonata,Hyundai,22679,new,Silver,0,Loan,Bronx
59,2021-05-08,Tiguan,Volkswagen,29868,new,Red,0,Lease,Midtown
60,2022-08-29,Tiguan,Volkswagen,29122,new,Silver,0,Loan,Manhattan
